detail,href,title
零零恭、零零喜、零零发（周星驰 饰）、零零财是宫廷四大高手，专职保卫皇帝（张达明 饰）的安全。虽号称四大高手之一，零零发实际上只会搞些小发明完全不会武功，某次因为未完成皇帝交办的捉拿江湖四大怪杰的任务，他被开除出宫。,https://www.1905.com/vod/play/862185.shtml,大内密探零零发
明崇祯皇帝登基，大太监魏忠贤及其“阉党”被锦衣卫覆灭。锦衣卫中以卢剑星、沈炼和靳一川三兄弟最为勇猛正直。老大卢剑星为了升官百户，沈炼为替教坊司妓女周妙彤赎身，三弟靳一川为摆脱浪人丁修的纠缠，三兄弟决定接受东厂都督赵靖忠追杀魏忠贤的秘密行动。,https://www.1905.com/vod/play/816160.shtml,绣春刀
在二十世纪初的上海平民区，斧头帮头子于老七为虎作伥。海外留学归来的医生唐山遇到斧头帮的人洗劫无辜村民，他挺身而出，与斧头帮主于老七结下冤仇。,https://www.1905.com/vod/play/362065.shtml,义侠勇闯上海滩
赵闪闪（包贝尔 饰）是一位单纯善良的少年，默默喜欢着美丽女孩李春霞（孙怡 饰），两人考入了同一所高中，随着时间的推移，青涩的感情渐渐生根发芽，两人之间的距离越来越近。然而，来自学校和家长的压力让赵闪闪和李春霞不得不暂时分开，他们许下承诺，共同努力考入同一所大,https://www.1905.com/vod/play/976938.shtml,我的青春期
林天娇是同学和老师们眼中公认的三好学生，不仅学习成绩优异，道德品质的高洁更是有目共睹。然而，在一场非常重要的考试之中，林天娇因为患上了感冒而发挥不佳，心急如焚的她想到了作弊，然而却因为作弊技术太差而东窗事发。 ,https://www.1905.com/vod/play/1192077.shtml,谁的青春不迷茫
"自全国足球联赛以后，拿了总冠军并且弘扬了少林功夫的""少林足球队""六兄弟在比赛中体会到了友爱的真谛，于是六人决定告别足坛，云游四海。大师兄""铁头功""（黄一飞）因失败的婚姻一直享受不到亲情的温暖，遂决定回到自己阔别已久的老家，与儿子重会……",https://www.1905.com/vod/play/657539.shtml,功夫老爸
乐团的大提琴手叶薰（林志玲 饰）由于未婚夫许卓（高以翔 饰）因车祸缺席婚礼而受到伤害，三年来美丽高雅的她虽然身边追求者不断，自己却无法再爱上一个人。直到遇见黄达（黄渤 饰），一个平凡的包工头，打破了叶薰平静的生活……,https://www.1905.com/vod/play/640706.shtml,101次求婚
时光流转，曾经美好的青春时代有如一场不真实的梦。她充满躁动、喜悦、悲伤与愤慨，她是远离着社会现实尔虞我诈的青春懵懂，傻了傻气的纯真涂抹下最为亮丽耀眼的色彩。而今回首往事，即使如梦般虚幻，却又让人唏嘘不已，感慨万千。,https://www.1905.com/vod/play/905770.shtml,匆匆那年
30年代的上海，马丽某年生日收到了表姐送来的一块古董梳妆台，可是表姐已在几年前被她设计迫害自杀了。她的丈夫是著名教授，可是两人年龄差异较大，丈夫有了外遇，对方竟是马丽的表姐，马丽愤怒设计杀死他们，最后自己也在那块镜子前自杀了。,https://www.1905.com/vod/play/86101.shtml,古镜怪谈（怪谈之魔镜）
开山队遇到怪异事件纷纷逃走，只有宁采臣毅然留下。刚成人形的狸猫精小倩和宁采臣相恋，却面临来自树妖、猎魔师和人间的重重危机……,https://www.1905.com/vod/play/466077.shtml,倩女幽魂
中国湘西。一个古老偏远、世代缺水的村庄里，有一个叫阿明的年轻人与母亲相依为命。他的父亲早年死于一次引水事故，母亲双目失明。同村姑娘阿水默默地爱着他，然而，因为阿明父亲的死是她父亲造成的，阿明因此不能原谅她的父亲,https://www.1905.com/vod/play/1525363.shtml,归去来
无房无车无存款的心理医生范坚强（徐峥 饰）跟着女友（林鹏 饰）回家，准备拜见未来的岳父大人。刚一见面，范坚强就被惊出几身冷汗：岳父苏伯虎（许绍雄 饰）富得流油真是要了他的命！但更要命的是自己知道他所有不可告人的秘密！！！,https://www.1905.com/vod/play/577882.shtml,搞定岳父大人
马丽（倪妮 饰）和何静（杨颖 饰）是从小玩到大的闺中密友，彼此之间感情十分要好。曾经，在一间豪华的酒店之中，两个姑娘目睹了一场浪漫的婚礼，她们就此立下誓言，等到结婚的那一天，一定要重回此地举行仪式。 ,https://www.1905.com/vod/play/974839.shtml,新娘大作战
自打顾海洋把妈妈从农村老家接来后，海洋和妻子肖晓的二人世界就发生了变化。多年来的乡下生活习惯，加上愁着替儿子还一百多万的住房贷款，海洋的妈妈尽可能地为儿子节约每一分钱。为此，海洋的妈妈做饭不开抽油烟机、刷碗不用洗涤灵，更让肖晓接受不了的是……,https://www.1905.com/vod/play/85493.shtml,秘密
1861年，Johnnie Gray是西部大西洋火车公司的一名员工，深爱着他的火车“将军号”，还有他的未婚妻。南北战争爆发了，他的未婚妻让他去从军，军方却拒绝了他，认为让他开火车更有价值。他的未婚妻很生气，发誓除非看见他穿军装的样子，不然再也不和他说话。,https://www.1905.com/vod/play/1391237.shtml,将军号
故事开始于虚构的中国最东边的小岛“东极岛”，智力低下的青年胡生（高华阳 饰）讲述了关于他的两个哥们儿——马浩汉（冯绍峰 饰）和江河（陈柏霖 饰）的故事。,https://www.1905.com/vod/play/821827.shtml,后会无期
丈夫与妻子结婚9周年纪念日，沉浸在幸福之中的妻子却被道貌岸然的丈夫的偷情照片吓呆了……,https://www.1905.com/vod/play/296940.shtml,午夜邂逅
上世纪四十年代，加州理工学院终身教授钱学森（陈坤 饰）因为美国兴起的反共言论而备受打击。他的尖端技术研究被迫中止，并被责令出境。钱学森心系祖国，归心似箭。,https://www.1905.com/vod/play/580704.shtml,钱学森
越剧戏曲片。书生张珍与丞相之女牡丹有婚约，后因父母相继去世，便投奔相府。丞相见他无钱无势，表面命他暂居在后花园碧波潭畔的草庐中读书，心里却想找机会悔婚。张珍心情苦闷，经常独自走到潭边哀叹心事，潭中鲤鱼精爱慕张珍的善良淳朴,https://www.1905.com/vod/play/1496410.shtml,追鱼
那是一个战火纷飞的年代，桐柏山区一户穷苦人家为生计卖掉了亲生女儿小花，之后又收养了一个转移红军留下的女婴，他们给这个女婴取名也叫小花。十几年后，小花（陈冲 饰）的哥哥赵永平（唐国强 饰）为了躲避抓丁投奔了革命队伍……,https://www.1905.com/vod/play/85830.shtml,小花
某杂志副主编周小辉，才华横溢却因太过张扬遭受上司忌讳，被耍手段解雇后，周小辉召集了一帮全被失败附体的衰人,https://www.1905.com/vod/play/477245.shtml,与时尚同居
一个是曾经背叛自己的前妻，一个是一见钟情的痴情富婆，究竟马文应该在杨欣和李芹之间作何选择？,https://www.1905.com/vod/play/357839.shtml,马文的战争
妻子夏雪（刘雨鑫 饰）罹患癌症，致令某医院心脏外科专家顾振生（任达华 饰）备受打击，在巨大压力下，经他手术的病人不幸身亡。顾从此一蹶不振，精神恍惚，时常能看到诡异和恐怖的景象。,https://www.1905.com/vod/play/416566.shtml,午夜心跳
萨宾娜出生在富有的拉若比庄园，但她并非千金贵族，而是该庄园一介小小司机的女儿。可悲的是，萨宾娜看上了庄园里风流成性的公子哥戴维，而后者从来没有将她放在眼里。,https://www.1905.com/vod/play/1391817.shtml,龙凤配
